"year","biggest_event","darkest_joke"
"1647","""The capture of King Charles I by the New Model Army during the English Civil War, a pivotal event leading to his eventual trial and execution.""","""Why did the 1647 peasant refuse to attend the village bonfire? He heard the guest list was just a *census*."""
"1646","""The most famous event of 1646 was the end of the First English Civil War with the surrender of the Royalist forces under King Charles I to the Scottish Covenanters, leading to his eventual imprisonment and marking a pivotal shift in the conflict between Parliament and the monarchy.""","""Why did the peasant in 1646 carry a ladder? To reach the high ground... and the last scraps of food, because the Thirty Years' War had already taken everything else—including the will to live."""
"1645","""The Battle of Naseby, a decisive engagement of the English Civil War, where the Parliamentarian New Model Army led by Sir Thomas Fairfax and Oliver Cromwell defeated the Royalist forces under King Charles I.""","""1645: The only year 'Buy One, Get One Free' applied to funerals, thanks to the Thirty Years' War... Loyalty programs really knew how to keep customers coming back—permanently."""
"1644","""The most famous event of 1644 was the fall of the Ming Dynasty in China and the establishment of the Qing Dynasty following the capture of Beijing by Manchu forces led by the Shunzhi Emperor.""","""Why did the Ming emperor invest in a good ladder in 1644? To ensure his fall from power was the only thing that wouldn't leave him hanging."""
"1643","""The death of Louis XIII and the ascension of Louis XIV to the throne of France, marking the beginning of his 72-year reign, the longest of any sovereign monarch in European history.""","""Why did Louis XIV's subjects call his reign 'the ultimate bedtime story'? Because he ascended at four and spent the next 72 years ensuring no one in France ever slept peacefully again—peasants included, but their beds were just graves."""
"1642","""The outbreak of the English Civil War between the Royalists and Parliamentarians, marking a pivotal conflict in British history.""","""Why did 1642 feel like the universe was collapsing? Because even the stars lost their guiding light, and the king was about to lose his head—talk about a celestial and royal alignment!"""
"1641","""The Irish Rebellion of 1641, a major uprising by Irish Catholics against English Protestant rule, marked the beginning of the Wars of the Three Kingdoms and intensified sectarian conflict in Ireland.""","""Why did the 1641 Irishman bring a knife to dinner? To ensure the guests didn’t stay past the appetizers—hospitality was a *cutthroat* business during the Rebellion!"""
"1640","""The convening of the Long Parliament in England in November 1640, which led to significant political upheaval and ultimately the English Civil War.""","""Why did 1640 feel like democracy was on the chopping block? Because even back then, a single vote could cost you a head... and not just in the debate!"""
"1639","""The signing of the Treaty of Berwick in June 1639, ending the First Bishops' War between England and Scotland, marked a pivotal moment leading to the Wars of the Three Kingdoms and broader conflicts in British history.""","""Why was 1639 the best year for crows? Plenty of bishops' wars to feast on, and not a single soul left to complain about the menu."""
"1638","""The most famous event of 1638 was the conclusion of the Shimabara Rebellion in Japan, a major uprising of Christian peasants and rōnin against the Tokugawa shogunate, leading to a brutal suppression and the enforcement of strict anti-Christian policies.""","""Why did the free thinker in 1638 bring a match to the sermon? To light the way for 'enlightenment'... and his own execution."""
"1637","""The Dutch Tulip Mania bubble reached its peak and crashed in 1637, marking one of the first recorded speculative economic bubbles in history.""","""Why did the Dutch speculator refuse a proper burial in 1637? Because after the tulip crash, he was already used to being planted six feet under worthless bulbs."""
"1636","""The founding of Harvard University, originally established as 'New College' in the Massachusetts Bay Colony.""","""Why did the peasant in 1636 avoid the harvest festival? Because he heard the Thirty Years' War was offering a 'field promotion'—straight to a mass grave."""
"1635","""The Peace of Prague was signed, attempting to bring a partial resolution to the Thirty Years' War by reconciling Protestant and Catholic states within the Holy Roman Empire.""","""Why did the plague doctor’s 1635 almanac have blank pages? Because everyone’s future was already looking a bit… *cough*… terminal."""
"1634","""The Battle of Nördlingen in September 1634, a decisive Catholic victory in the Thirty Years' War, marked a turning point by weakening Swedish influence and leading to the Peace of Prague.""","""Why did the 1634 plague doctor start charging extra for house calls? Because even Death needed a laugh after seeing how many people tried to 'burn their calories' by fleeing witch trials... only to trip into mass graves."""
"1633","""The trial of Galileo Galilei by the Roman Catholic Inquisition for heresy, due to his support of Copernican heliocentrism.""","""Why did Galileo’s telescope get a front-row seat at the Inquisition? Because it finally saw the ‘cosmic perspective’ of being forced to recant… or else burn like a supernova."""
"1632","""The most famous event of 1632 was the Battle of Lützen during the Thirty Years' War, where Swedish King Gustavus Adolphus was killed, marking a pivotal moment in European history.""","""Why did Gustavus Adolphus’s men bring a ladder to the Battle of Lützen? Because they heard the king was aiming for a higher position… six feet under."""
